Order_ID,Order_Date,Customer_ID,Customer_Name,Customer_Segment,Category,Product_Name,Quantity,Unit_Price,Gross_Sales,Discount_Percent,Discount_Amount,Net_Sales,Cost,Profit,State,City,Payment_Mode,Ship_Mode,Sales_Channel,Is_Returned,Customer_Rating
AMZ-138465,2022-01-01,CUST-33257,Diya Iyer,Prime Member,Electronics,Bluetooth Speaker,1,22472.11,22472.11,0,0.0,22472.11,16882.01,5590.1,Uttar Pradesh,Noida,Amazon Pay,Expedited,Website,0,5
AMZ-128774,2022-01-01,CUST-31668,Vihaan Bose,New,Electronics,Headphones,4,48547.04,194188.16,10,19418.82,174769.34,136770.01,37999.33,Gujarat,Ahmedabad,Cash on Delivery,Expedited,Mobile App,0,4
AMZ-193152,2022-01-01,CUST-37636,Aditya Kumar,Returning,Electronics,Router,4,27285.95,109143.8,15,16371.57,92772.23,74022.61,18749.62,West Bengal,Kolkata,Debit Card,Standard,Amazon App - Prime,0,4
AMZ-195776,2022-01-01,CUST-21211,Ishita Chopra,Returning,Electronics,Laptop,1,25916.14,25916.14,5,1295.81,24620.33,19079.51,5540.82,Karnataka,Mysuru,UPI,Expedited,Amazon App - Prime,0,2
AMZ-152234,2022-01-01,CUST-36975,Arjun Gupta,Returning,Sports & Fitness,Dumbbells,2,3478.69,6957.38,0,0.0,6957.38,5366.58,1590.8,Tamil Nadu,Chennai,Credit Card,Standard,Mobile App,0,3
AMZ-182545,2022-01-01,CUST-12178,Riya Gupta,Prime Member,Grocery,Green Tea,1,1280.08,1280.08,25,320.02,960.06,913.09,46.97,Telangana,Hyderabad,UPI,Expedited,Mobile App,1,1
AMZ-196578,2022-01-01,CUST-23143,Aarav Das,Prime Member,Fashion,Running Shoes,1,3041.11,3041.11,10,304.11,2737.0,2012.13,724.87,Tamil Nadu,Chennai,UPI,Standard,Website,0,5
AMZ-124557,2022-01-01,CUST-41414,Aditya Patel,Prime Member,Fashion,Wrist Watch,1,2385.82,2385.82,15,357.87,2027.95,1518.01,509.94,Delhi,New Delhi,Credit Card,Standard,Website,0,4
AMZ-167533,2022-01-01,CUST-10134,Aditya Sharma,Returning,Grocery,Basmati Rice,1,1129.17,1129.17,0,0.0,1129.17,839.42,289.75,Karnataka,Mysuru,Debit Card,Expedited,Mobile App,0,5
AMZ-108542,2022-01-01,CUST-24805,Ishita Reddy,New,Electronics,Headphones,1,53942.99,53942.99,0,0.0,53942.99,40055.5,13887.49,West Bengal,Kolkata,Debit Card,Standard,Website,0,5
AMZ-153123,2022-01-01,CUST-35951,Aditya Singh,New,Fashion,Running Shoes,1,2289.58,2289.58,10,228.96,2060.62,1479.99,580.63,Kerala,Thiruvananthapuram,UPI,Standard,Mobile App,0,5
AMZ-191714,2022-01-01,CUST-42795,Vihaan Iyer,New,Electronics,Headphones,1,14985.45,14985.45,0,0.0,14985.45,8330.5,6654.95,Tamil Nadu,Chennai,UPI,Expedited,Website,0,3
AMZ-118273,2022-01-01,CUST-12262,Ritu Chopra,Returning,Beauty & Personal Care,Shampoo,1,2425.87,2425.87,20,485.17,1940.7,1823.56,117.14,Punjab,Amritsar,UPI,Standard,Amazon App - Prime,0,4
AMZ-141439,2022-01-01,CUST-15831,Ananya Chopra,Prime Member,Home & Kitchen,Vacuum Cleaner,1,2185.13,2185.13,0,0.0,2185.13,1423.09,762.04,Haryana,Faridabad,UPI,Standard,Website,0,4
AMZ-122042,2022-01-01,CUST-20789,Priya Rao,Returning,Toys & Baby Products,Baby Stroller,1,4310.85,4310.85,25,1077.71,3233.14,2513.91,719.23,Telangana,Hyderabad,UPI,Standard,Mobile App,0,5
AMZ-101665,2022-01-01,CUST-42229,Vivaan Mehta,Prime Member,Toys & Baby Products,Soft Toy,1,3465.68,3465.68,15,519.85,2945.83,2652.67,293.16,Tamil Nadu,Coimbatore,Net Banking,Same-Day,Amazon App - Prime,0,4
AMZ-134556,2022-01-01,CUST-11279,Riya Das,Returning,Books,Fiction Novel,1,286.82,286.82,10,28.68,258.14,185.8,72.34,Kerala,Kochi,Credit Card,Same-Day,Website,0,5
AMZ-107809,2022-01-01,CUST-42289,Reyansh Chopra,New,Home & Kitchen,Mixer Grinder,2,5253.08,10506.16,25,2626.54,7879.62,6413.06,1466.56,Uttar Pradesh,Lucknow,Credit Card,Expedited,Website,0,3
AMZ-124760,2022-01-01,CUST-10646,Kabir Singh,Prime Member,Home & Kitchen,Air Fryer,2,7309.78,14619.56,15,2192.93,12426.63,9606.16,2820.47,West Bengal,Kolkata,UPI,Standard,Mobile App,0,4
AMZ-102161,2022-01-01,CUST-40495,Vivaan Reddy,Prime Member,Electronics,Camera,1,51978.88,51978.88,15,7796.83,44182.05,32548.54,11633.51,West Bengal,Kolkata,Credit Card,Standard,Mobile App,0,4
AMZ-153318,2022-01-01,CUST-18982,Kiara Patel,New,Beauty & Personal Care,Trimmer,1,1165.81,1165.81,10,116.58,1049.23,780.2,269.03,Kerala,Thiruvananthapuram,Net Banking,Same-Day,Amazon App - Prime,0,5
AMZ-179973,2022-01-01,CUST-20587,Diya Patel,New,Fashion,Wrist Watch,1,4239.77,4239.77,5,211.99,4027.78,2924.45,1103.33,Uttar Pradesh,Noida,Debit Card,Prime One-Day,Amazon App - Prime,0,5
AMZ-170353,2022-01-01,CUST-29806,Arjun Sharma,New,Electronics,Power Bank,1,34497.32,34497.32,0,0.0,34497.32,24228.36,10268.96,Rajasthan,Udaipur,UPI,Prime One-Day,Website,0,4
AMZ-134024,2022-01-01,CUST-39822,Ananya Mehta,Prime Member,Books,Biography,4,397.66,1590.64,0,0.0,1590.64,883.63,707.01,Telangana,Hyderabad,Debit Card,Standard,Amazon App - Prime,0,5
AMZ-158854,2022-01-01,CUST-35828,Ritu Das,Prime Member,Grocery,Basmati Rice,1,247.28,247.28,40,98.91,148.37,156.48,-8.11,Uttar Pradesh,Lucknow,UPI,Same-Day,Amazon App - Prime,0,3
AMZ-105994,2022-01-01,CUST-40434,Advait Joshi,Returning,Beauty & Personal Care,Perfume,1,2285.66,2285.66,15,342.85,1942.81,1739.89,202.92,Maharashtra,Mumbai,UPI,Same-Day,Amazon App - Prime,0,4
AMZ-152076,2022-01-01,CUST-20910,Vihaan Iyer,Returning,Electronics,Power Bank,2,32032.76,64065.52,0,0.0,64065.52,45637.19,18428.33,Rajasthan,Jaipur,Credit Card,Expedited,Website,0,5
AMZ-132788,2022-01-01,CUST-32743,Neha Patel,New,Electronics,Camera,1,60611.65,60611.65,5,3030.58,57581.07,37585.08,19995.99,Telangana,Hyderabad,Debit Card,Standard,Mobile App,0,5
AMZ-161279,2022-01-01,CUST-37711,Karan Mehta,Prime Member,Electronics,Tablet,1,58271.13,58271.13,0,0.0,58271.13,39208.83,19062.3,West Bengal,Kolkata,Credit Card,Standard,Amazon App - Prime,0,5
AMZ-172202,2022-01-01,CUST-16880,Kiara Sharma,Returning,Grocery,Spices Combo,3,1319.69,3959.07,25,989.77,2969.3,2877.01,92.29,Punjab,Ludhiana,UPI,Expedited,Mobile App,0,5
AMZ-185639,2022-01-01,CUST-31711,Karan Iyer,Returning,Beauty & Personal Care,Hair Dryer,1,2336.59,2336.59,15,350.49,1986.1,1510.38,475.72,Haryana,Faridabad,Credit Card,Prime One-Day,Mobile App,0,5
AMZ-128500,2022-01-01,CUST-29019,Sai Iyer,New,Beauty & Personal Care,Shampoo,2,393.21,786.42,15,117.96,668.46,600.84,67.62,Uttar Pradesh,Noida,Credit Card,Standard,Mobile App,0,5
AMZ-198493,2022-01-01,CUST-32136,Ritu Kumar,New,Sports & Fitness,Cricket Bat,1,8379.19,8379.19,0,0.0,8379.19,5684.29,2694.9,Karnataka,Bengaluru,Credit Card,Expedited,Amazon App - Prime,0,4
AMZ-113931,2022-01-01,CUST-43393,Ananya Mehta,Returning,Sports & Fitness,Dumbbells,1,5694.15,5694.15,15,854.12,4840.03,3995.12,844.91,Uttar Pradesh,Lucknow,Debit Card,Standard,Mobile App,0,5
AMZ-177827,2022-01-01,CUST-17852,Ishita Joshi,Returning,Toys & Baby Products,Soft Toy,1,3582.28,3582.28,0,0.0,3582.28,2167.69,1414.59,Uttar Pradesh,Noida,Amazon Pay,Standard,Amazon App - Prime,0,4
AMZ-165255,2022-01-01,CUST-16610,Priya Bose,Prime Member,Grocery,Green Tea,1,537.95,537.95,30,161.39,376.56,414.36,-37.8,Rajasthan,Jaipur,Credit Card,Standard,Website,0,4
AMZ-190062,2022-01-01,CUST-41028,Kiara Sharma,Prime Member,Home & Kitchen,Water Bottle,2,9595.06,19190.12,20,3838.02,15352.1,13813.11,1538.99,Delhi,New Delhi,Cash on Delivery,Same-Day,Mobile App,1,1
AMZ-154538,2022-01-01,CUST-38631,Reyansh Bose,Returning,Toys & Baby Products,Baby Stroller,2,4248.92,8497.84,20,1699.57,6798.27,5960.35,837.92,Punjab,Ludhiana,Credit Card,Standard,Mobile App,0,4
AMZ-114155,2022-01-01,CUST-10457,Myra Sharma,New,Grocery,Green Tea,1,448.87,448.87,10,44.89,403.98,345.63,58.35,Tamil Nadu,Chennai,Credit Card,Same-Day,Mobile App,0,5
AMZ-139388,2022-01-01,CUST-40804,Ananya Verma,New,Electronics,Smartwatch,1,44426.56,44426.56,10,4442.66,39983.9,24640.97,15342.93,Maharashtra,Mumbai,UPI,Expedited,Website,0,4
AMZ-143633,2022-01-01,CUST-20131,Vivaan Joshi,Prime Member,Beauty & Personal Care,Trimmer,2,1748.93,3497.86,5,174.89,3322.97,2034.14,1288.83,Uttar Pradesh,Kanpur,Amazon Pay,Standard,Website,0,5
AMZ-179684,2022-01-01,CUST-26955,Karan Chopra,Returning,Electronics,Smartwatch,1,23605.65,23605.65,5,1180.28,22425.37,17681.73,4743.64,Telangana,Hyderabad,Debit Card,Expedited,Mobile App,0,4
AMZ-197273,2022-01-01,CUST-12527,Ayaan Singh,New,Fashion,Wrist Watch,1,2962.28,2962.28,25,740.57,2221.71,2170.33,51.38,Telangana,Hyderabad,Net Banking,Standard,Mobile App,0,5
AMZ-198124,2022-01-01,CUST-18541,Ayaan Reddy,New,Sports & Fitness,Dumbbells,1,6721.51,6721.51,40,2688.6,4032.91,4629.03,-596.12,Telangana,Hyderabad,Cash on Delivery,Same-Day,Mobile App,0,5
AMZ-116084,2022-01-01,CUST-31980,Priya Gupta,New,Toys & Baby Products,Remote Control Car,5,4242.48,21212.4,10,2121.24,19091.16,11758.5,7332.66,Punjab,Ludhiana,Cash on Delivery,Standard,Website,1,2
AMZ-154852,2022-01-01,CUST-37096,Sai Patel,Returning,Fashion,Handbag,1,2627.32,2627.32,10,262.73,2364.59,1943.46,421.13,Haryana,Gurugram,UPI,Expedited,Amazon App - Prime,1,1
AMZ-185468,2022-01-01,CUST-33886,Vivaan Joshi,Returning,Sports & Fitness,Yoga Mat,1,10229.35,10229.35,0,0.0,10229.35,7498.55,2730.8,Uttar Pradesh,Noida,Amazon Pay,Expedited,Website,0,5
AMZ-105052,2022-01-01,CUST-42674,Ritu Malhotra,Returning,Sports & Fitness,Cycling Helmet,2,12614.53,25229.06,0,0.0,25229.06,14734.62,10494.44,Telangana,Hyderabad,Net Banking,Same-Day,Mobile App,0,5
AMZ-198751,2022-01-01,CUST-18713,Riya Nair,Returning,Electronics,Bluetooth Speaker,1,17184.11,17184.11,15,2577.62,14606.49,10803.22,3803.27,Karnataka,Mysuru,Debit Card,Standard,Website,0,3
AMZ-111820,2022-01-01,CUST-23896,Rohan Bose,New,Beauty & Personal Care,Makeup Kit,2,2170.29,4340.58,40,1736.23,2604.35,3370.29,-765.94,Maharashtra,Nagpur,Debit Card,Same-Day,Amazon App - Prime,0,5
AMZ-153562,2022-01-01,CUST-25912,Ananya Singh,Prime Member,Grocery,Green Tea,1,1304.5,1304.5,20,260.9,1043.6,788.62,254.98,Tamil Nadu,Chennai,UPI,Standard,Mobile App,0,5
AMZ-199401,2022-01-01,CUST-36562,Vihaan Singh,New,Home & Kitchen,Storage Boxes,1,5627.83,5627.83,5,281.39,5346.44,3267.94,2078.5,Maharashtra,Pune,Cash on Delivery,Expedited,Mobile App,0,5
AMZ-165972,2022-01-01,CUST-22024,Vivaan Sharma,Returning,Sports & Fitness,Dumbbells,1,4739.28,4739.28,0,0.0,4739.28,3141.63,1597.65,Karnataka,Bengaluru,UPI,Same-Day,Website,0,1
AMZ-190355,2022-01-01,CUST-17289,Aarav Joshi,Prime Member,Books,Biography,1,289.21,289.21,20,57.84,231.37,180.51,50.86,West Bengal,Howrah,Debit Card,Expedited,Website,0,5
AMZ-103270,2022-01-01,CUST-32216,Ayaan Verma,Prime Member,Electronics,Tablet,2,17250.29,34500.58,0,0.0,34500.58,23128.53,11372.05,West Bengal,Kolkata,Credit Card,Expedited,Amazon App - Prime,0,4
AMZ-104652,2022-01-01,CUST-17324,Ritu Nair,Returning,Electronics,Smartwatch,1,13471.87,13471.87,10,1347.19,12124.68,9950.86,2173.82,Telangana,Hyderabad,Net Banking,Standard,Mobile App,0,5
AMZ-143331,2022-01-01,CUST-39111,Neha Singh,Prime Member,Electronics,Router,4,14252.81,57011.24,5,2850.56,54160.68,36773.38,17387.3,Uttar Pradesh,Noida,Debit Card,Standard,Mobile App,0,4
AMZ-159695,2022-01-01,CUST-44445,Neha Mehta,Returning,Fashion,Men's T-Shirt,1,4394.58,4394.58,5,219.73,4174.85,3343.84,831.01,Kerala,Thiruvananthapuram,UPI,Prime One-Day,Mobile App,0,5
AMZ-198677,2022-01-01,CUST-42996,Aarav Verma,Prime Member,Grocery,Basmati Rice,5,841.3,4206.5,0,0.0,4206.5,2755.47,1451.03,Delhi,New Delhi,Net Banking,Same-Day,Website,0,5
AMZ-113845,2022-01-01,CUST-21566,Diya Chopra,Prime Member,Sports & Fitness,Cricket Bat,1,1805.76,1805.76,40,722.3,1083.46,1335.09,-251.63,Maharashtra,Nagpur,Cash on Delivery,Same-Day,Website,0,5
AMZ-180905,2022-01-01,CUST-19290,Vivaan Joshi,Returning,Sports & Fitness,Yoga Mat,3,566.74,1700.22,5,85.01,1615.21,976.3,638.91,Punjab,Ludhiana,Cash on Delivery,Expedited,Website,0,5
AMZ-138564,2022-01-01,CUST-36023,Simran Patel,New,Home & Kitchen,Curtains,1,3170.36,3170.36,20,634.07,2536.29,2357.99,178.3,Uttar Pradesh,Noida,Cash on Delivery,Standard,Amazon App - Prime,0,4
AMZ-183543,2022-01-01,CUST-16860,Aadhya Patel,Returning,Toys & Baby Products,Building Blocks,1,2986.63,2986.63,0,0.0,2986.63,1666.45,1320.18,Maharashtra,Nagpur,Cash on Delivery,Same-Day,Amazon App - Prime,0,4
AMZ-196304,2022-01-01,CUST-26264,Karan Patel,Returning,Fashion,Handbag,1,2262.8,2262.8,0,0.0,2262.8,1655.99,606.81,Rajasthan,Jaipur,Net Banking,Prime One-Day,Website,0,5
AMZ-182515,2022-01-01,CUST-18778,Neha Singh,New,Home & Kitchen,Pressure Cooker,1,4478.55,4478.55,5,223.93,4254.62,3205.63,1048.99,Delhi,New Delhi,UPI,Expedited,Website,0,3
AMZ-150373,2022-01-01,CUST-24640,Simran Iyer,New,Fashion,Women's Kurti,1,2144.08,2144.08,15,321.61,1822.47,1579.14,243.33,Delhi,New Delhi,UPI,Standard,Amazon App - Prime,0,5
AMZ-128857,2022-01-01,CUST-18730,Priya Chopra,Prime Member,Electronics,Smartphone,2,56534.56,113069.12,20,22613.82,90455.3,77225.3,13230.0,Maharashtra,Pune,Cash on Delivery,Standard,Mobile App,0,4
AMZ-153777,2022-01-01,CUST-11472,Rohan Nair,Returning,Books,Fiction Novel,1,744.12,744.12,15,111.62,632.5,530.34,102.16,Maharashtra,Mumbai,Cash on Delivery,Standard,Website,0,3
AMZ-112017,2022-01-01,CUST-26158,Rohan Mehta,Returning,Fashion,Women's Kurti,2,819.01,1638.02,10,163.8,1474.22,1221.41,252.81,West Bengal,Howrah,Credit Card,Same-Day,Website,0,3
AMZ-131008,2022-01-01,CUST-40265,Karan Das,Returning,Beauty & Personal Care,Face Wash,2,2313.07,4626.14,30,1387.84,3238.3,3379.36,-141.06,Haryana,Faridabad,Cash on Delivery,Same-Day,Mobile App,0,5
AMZ-164283,2022-01-01,CUST-10003,Vihaan Verma,New,Home & Kitchen,Vacuum Cleaner,2,4530.47,9060.94,0,0.0,9060.94,6057.31,3003.63,West Bengal,Kolkata,Credit Card,Standard,Mobile App,0,3
